Year,Host,Teams,Champion,RunnerUp,TopScorer,Attendance,AttendanceAv,Matches,Referee
1934,Italy,16,Italy,Czechoslovakia,Oldřich Nejedlý,363000,21353,17,Desconocido
1938,France,15,Italy,Hungary,Leônidas - 7,375700,20872,18,Desconocido
1950,Brazil,13,Uruguay,Brazil,Ademir - 8,1045246,47511,22,Desconocido
1954,Switzerland,16,Germany,Hungary,Sándor Kocsis,768607,29562,26,Desconocido
1958,Sweden,16,Brazil,Sweden,Just Fontaine,819810,23423,35,Desconocido
1962,Chile,16,Brazil,Czechoslovakia,Leonel Sánchez,893172,27912,32,Desconocido
1966,England,16,England,West Germany,Eusébio - 9,1563135,48848,32,Desconocido
1970,Mexico,16,Brazil,Italy,Gerd Müller,1603975,50124,32,Desconocido
1974,Germany,16,West Germany,Netherlands,Grzegorz Lato,1865753,49099,38,Desconocido
1978,Argentina,16,Argentina,Netherlands,Mario Kempes,1545791,40679,38,Desconocido
1982,Spain,24,Italy,West Germany,Paolo Rossi - 6,2109723,40572,52,Desconocido
1986,Mexico,24,Argentina,West Germany,Gary Lineker - 6,2394031,46039,52,Desconocido
1990,Italy,24,West Germany,Argentina,Salvatore Schillaci,2516215,48389,52,Desconocido
1994,United States,24,Brazil,Italy,Hristo Stoichkov,3587538,68991,52,Desconocido
1998,France,32,France,Brazil,Davor Šuker,2903477,45367,64,Desconocido
2002,Korea Republic,32,Brazil,Germany,Ronaldo - 8,2705337,42271,64,Desconocido
2006,Germany,32,Italy,France,Miroslav Klose,3352605,52384,64,Desconocido
2010,South Africa,32,Spain,Netherlands,Wesley Sneijder,3178856,49670,64,Desconocido
2014,Brazil,32,Germany,Argentina,James Rodríguez,3429873,53592,64,Desconocido
2018,Russia,32,France,Croatia,Harry Kane,3031768,47371,64,O. Kronlykke
2022,Qatar,32,Argentina,France,Leonel Messi,3404252,53191,64,Desconocido
2026,Argentina,32,Argentina,Venezuela,Goku,1234141,1241,12,Desconocido
